STATE,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN
ILLINOIS,US1ILDK0024,"SOMONAUK 1.9 NE, IL US",41.650638,-88.656638,205.1,2016,,45.78,,,,
ILLINOIS,USC00115772,"MONMOUTH 4 NW, IL US",40.9362,-90.7197,220.7,2016,,37.14,,52.6,62.3,42.8
ILLINOIS,USC00114442,"JACKSONVILLE 2 E, IL US",39.7346,-90.1979,185.9,2016,,32.88,11.2,55.4,66.1,44.7
ILLINOIS,USC00117952,"SIDELL 4 N, IL US",39.9677,-87.8228,204.8,2016,,40.33,,52.9,62.7,43.1
ILLINOIS,US1ILMD0010,"GRANITE CITY 1.4 ENE, IL US",38.724529,-90.106939,128,2016,,47.5,,,,
ILLINOIS,US1ILHY0006,"NEW WINDSOR 2.0 N, IL US",41.231307,-90.435399,226.2,2016,,34.22,,,,
ILLINOIS,US1ILJF0004,"MOUNT VERNON 1.3 SW, IL US",38.305153,-88.928853,159.1,2016,,48.34,,,,
ILLINOIS,USC00113666,"GREENFIELD, IL US",39.34242,-90.20599,164.6,2016,,35.12,,,,
ILLINOIS,US1ILKN0095,"ELGIN 2.5 W, IL US",42.040413,-88.336592,249.6,2016,,38.64,35.2,,,
ILLINOIS,USC00115961,"MUNDELEIN 4 WSW, IL US",42.25515,-88.07758,256,2016,,35.07,33.3,49.8,59.1,40.6
ILLINOIS,USC00114879,"LANARK, IL US",42.0919,-89.8421,253,2016,,33.15,,,,
ILLINOIS,US1ILCP0047,"CHAMPAIGN 2.3 NNW, IL US",40.145699,-88.27378,232,2016,,40.44,10.3,,,
ILLINOIS,US1ILWL0121,"MONEE 4.9 W, IL US",41.41474152,-87.84793854,221,2016,,38.02,,,,
ILLINOIS,USC00111250,"CANTON, IL US",40.5379,-90.0421,195.1,2016,,37.69,14,,,
ILLINOIS,USC00111491,"CHESTER, IL US",37.90208,-89.83085,130.5,2016,,39.58,,,,
ILLINOIS,USC00115712,"MINONK, IL US",40.91254,-89.03378,228.6,2016,,36.06,13.1,53.5,64.2,42.8
ILLINOIS,USC00115833,"MORRISON, IL US",41.79457,-89.96819,192.6,2016,,46.3,19.4,,,
ILLINOIS,USC00110146,"AMBOY, IL US",41.7225,-89.3366,230.1,2016,,40.04,22.5,,,
ILLINOIS,USC00112687,"EFFINGHAM, IL US",39.1181,-88.6244,190.5,2016,,43.64,8.6,56.7,67.2,46.2
ILLINOIS,USC00115950,"MOWEAQUA 2 S, IL US",39.5879,-89.0159,190.5,2016,,37.26,,,,
ILLINOIS,USC00112685,"EFFINGHAM SE, IL US",39.1065,-88.5312,161.8,2016,,44.49,9.3,,,
ILLINOIS,USC00114629,"KASKASKIA RIVER NAVIGATION LOCK, IL US",37.98344,-89.94683,115.8,2016,,42.33,,,,
ILLINOIS,US1ILHN0002,"WARSAW 5.8 SE, IL US",40.287433,-91.358815,209.1,2016,,33.06,,,,
ILLINOIS,US1ILHN0001,"DALLAS CITY 3.0 SSE, IL US",40.593832,-91.146708,182,2016,,34.03,,,,
ILLINOIS,US1ILCP0037,"SIDNEY 0.9 N, IL US",40.036727,-88.070112,200.9,2016,,45.22,,,,
ILLINOIS,USC00111265,"CARBONDALE SEWAGE PLANT, IL US",37.7308,-89.1658,118.9,2016,,54.7,,57.5,67.7,47.2
ILLINOIS,USC00111386,"CENTRALIA, IL US",38.55556,-89.12977,140.2,2016,,40.83,,,,
ILLINOIS,USC00112353,"DIXON SPRINGS AGRIC CNTR, IL US",37.4388,-88.6678,160.6,2016,,,,,,
